job_title,ai_impact,task,ai_model,domain
Order Filler,0.80,133.00,1021.00,Hospitality
Records Clerk,0.80,222.00,1784.00,Communication & PR
Scribe,0.80,202.00,1623.00,Data & IT
Typist,0.80,208.00,1364.00,Administrative & Clerical
Dishwasher,0.80,3.00,31.00,Leadership & Strategy
Digital Project Manager,0.80,231.00,1922.00,Medical & Healthcare
Technical Project Manager,0.80,205.00,1521.00,Supply Chain & Logistics
Grocer,0.80,50.00,377.00,Law Enforcement
Finance Officer,0.80,167.00,1516.00,Construction
Word Processor,0.80,264.00,1707.00,Sales & Marketing
Market Research Interviewer,0.80,210.00,1825.00,Hospitality
Pl Sql Developer,0.80,183.00,1686.00,Communication & PR
Quantitative Developer,0.80,182.00,1667.00,Data & IT
Statistical Programmer,0.80,187.00,1669.00,Administrative & Clerical
Tableau Developer,0.80,188.00,1668.00,Leadership & Strategy
Data Modeler,0.80,216.00,1767.00,Medical & Healthcare
Database Analyst,0.80,218.00,1773.00,Supply Chain & Logistics
Database Developer,0.80,205.00,1726.00,Law Enforcement
Etl Developer,0.80,184.00,1670.00,Construction
Hadoop Developer,0.80,181.00,1643.00,Sales & Marketing
Sql Analyst,0.80,212.00,1761.00,Hospitality
Procurement Assistant,0.80,179.00,1316.00,Communication & PR
Receiving Associate,0.80,92.00,733.00,Data & IT
Warehouse Associate,0.80,78.00,664.00,Administrative & Clerical
Press Operator,0.80,84.00,1077.00,Leadership & Strategy
Pressman,0.80,83.00,1068.00,Medical & Healthcare
Printing Press Operator,0.80,93.00,1065.00,Supply Chain & Logistics
Automation Test Engineer,0.80,159.00,1547.00,Law Enforcement
Automation Tester,0.80,158.00,1541.00,Construction
QA Automation Engineer,0.80,155.00,1525.00,Sales & Marketing
Tax Preparer,0.80,153.00,1263.00,Hospitality
Associate,0.79,175.00,1298.00,Communication & PR
Chief Learning Officer,0.79,162.00,1250.00,Data & IT
Web Project Manager,0.78,217.00,1845.00,Administrative & Clerical
Medical Coding Specialist,0.78,171.00,1250.00,Leadership & Strategy
Front Desk,0.77,215.00,1779.00,Medical & Healthcare
Credit Manager,0.76,151.00,1094.00,Supply Chain & Logistics
Advertising Manager,0.75,195.00,1370.00,Law Enforcement
Caller,0.75,131.00,1085.00,Construction
Phone Sales,0.75,11.00,54.00,Sales & Marketing
Telesales Representative,0.75,145.00,1049.00,Hospitality
Accounting Clerk,0.75,145.00,1299.00,Communication & PR
Administrative Associate,0.75,281.00,2139.00,Data & IT
Administrative Coordinator,0.75,281.00,2128.00,Administrative & Clerical
Corporate Receptionist,0.75,15.00,58.00,Leadership & Strategy
Desk Receptionist,0.75,14.00,56.00,Medical & Healthcare
Executive Secretary,0.75,159.00,1176.00,Supply Chain & Logistics
Front Desk Clerk,0.75,223.00,1801.00,Law Enforcement
Front Desk Receptionist,0.75,225.00,1803.00,Construction
Front Office Receptionist,0.75,226.00,1812.00,Sales & Marketing
Mail Sorter,0.75,136.00,1219.00,Hospitality
Order Clerk,0.75,151.00,1336.00,Communication & PR
Medical Coder,0.75,109.00,773.00,Data & IT
Purchasing Assistant,0.75,163.00,1417.00,Administrative & Clerical
Supply Technician,0.75,121.00,979.00,Leadership & Strategy
Android Developer,0.75,147.00,1393.00,Medical & Healthcare
Ios Developer,0.75,148.00,1394.00,Supply Chain & Logistics
Chief Of Staff,0.75,180.00,1405.00,Law Enforcement
Intelligence Analyst,0.75,169.00,1185.00,Construction
Photo Retoucher,0.75,193.00,1464.00,Sales & Marketing
Full Charge Bookkeeper,0.75,123.00,858.00,Hospitality
Grant Accountant,0.75,128.00,886.00,Communication & PR
Epic Analyst,0.75,114.00,798.00,Data & IT
It Project Manager,0.75,221.00,1840.00,Administrative & Clerical
Software Project Manager,0.75,175.00,1442.00,Leadership & Strategy
Technology Project Manager,0.75,175.00,1443.00,Medical & Healthcare
Cobol Developer,0.75,130.00,929.00,Supply Chain & Logistics
Quantitative Analyst,0.75,8.00,46.00,Law Enforcement
Quantitative Research Analyst,0.75,168.00,1096.00,Construction
Report Developer,0.75,146.00,969.00,Sales & Marketing
Sas Developer,0.75,133.00,932.00,Hospitality
Statistical Analyst,0.75,166.00,1087.00,Communication & PR
Backend Developer,0.75,144.00,1012.00,Data & IT
Data Architect,0.75,162.00,1081.00,Administrative & Clerical
Database Designer,0.75,162.00,1081.00,Leadership & Strategy
Database Engineer,0.75,12.00,55.00,Medical & Healthcare
Gis Developer,0.75,9.00,48.00,Supply Chain & Logistics
Informatica Developer,0.75,131.00,925.00,Law Enforcement
Ui Developer,0.75,152.00,1088.00,Construction
Ux Developer,0.75,9.00,48.00,Sales & Marketing
Stenographer,0.75,8.00,49.00,Hospitality
Allocation Analyst,0.74,155.00,1102.00,Communication & PR
Business Operations Manager,0.71,163.00,1330.00,Data & IT
Ecommerce,0.70,161.00,1513.00,Administrative & Clerical
Solar Sales,0.70,128.00,1153.00,Leadership & Strategy
Developer,0.70,139.00,992.00,Medical & Healthcare
Javascript Developer,0.70,150.00,1039.00,Supply Chain & Logistics
Perl Developer,0.70,129.00,927.00,Law Enforcement
Pega Developer,0.70,132.00,932.00,Construction
Sap Developer,0.70,131.00,929.00,Sales & Marketing
Clinical Informatics Specialist,0.70,140.00,996.00,Hospitality
Cloud Engineer,0.70,152.00,1013.00,Communication & PR
Data Scientist,0.70,180.00,1091.00,Data & IT
Database Programmer,0.70,160.00,1022.00,Administrative & Clerical
Information Assurance,0.70,8.00,46.00,Leadership & Strategy
Oracle Developer,0.70,8.00,46.00,Medical & Healthcare
Sql Database Developer,0.70,10.00,49.00,Supply Chain & Logistics
Sql Developer,0.70,10.00,49.00,Law Enforcement
Sql Server Developer,0.70,10.00,49.00,Construction
Teradata Developer,0.70,8.00,46.00,Sales & Marketing
Net Developer,0.70,8.00,46.00,Hospitality
Sports Analyst,0.70,9.00,50.00,Communication & PR
Chief Of Police,0.70,122.00,1047.00,Data & IT
Emergency Dispatcher,0.70,156.00,1015.00,Administrative & Clerical
Investigative Analyst,0.70,194.00,1175.00,Leadership & Strategy
Police Dispatcher,0.70,164.00,1039.00,Medical & Healthcare
Polygraph Examiner,0.70,101.00,770.00,Supply Chain & Logistics
Public Safety Dispatcher,0.70,164.00,1039.00,Law Enforcement
Regulatory Analyst,0.70,183.00,1105.00,Construction
Security Consultant,0.70,151.00,986.00,Sales & Marketing
Embedded Systems Engineer,0.70,119.00,853.00,Hospitality
Implementation Analyst,0.70,178.00,1156.00,Communication & PR
Medical Billing Specialist,0.70,124.00,827.00,Data & IT
Medical Collector,0.70,10.00,52.00,Administrative & Clerical
Postal Clerk,0.70,10.00,52.00,Leadership & Strategy
Distribution Clerk,0.70,10.00,52.00,Medical & Healthcare
Purchasing Buyer,0.70,164.00,1427.00,Supply Chain & Logistics
Qa Software Tester,0.70,127.00,918.00,Law Enforcement
Application Developer,0.70,151.00,1045.00,Construction
Entry Level Developer,0.70,151.00,1033.00,Sales & Marketing
Front End Developer,0.70,159.00,1104.00,Hospitality
Front End Engineer,0.70,158.00,1093.00,Communication & PR
Front End Web Developer,0.70,159.00,1055.00,Data & IT
Full Stack Developer,0.70,154.00,1044.00,Administrative & Clerical
J2Ee Developer,0.70,141.00,983.00,Leadership & Strategy
Robotics Engineer,0.70,111.00,804.00,Medical & Healthcare
Appointment Scheduler,0.70,165.00,1212.00,Supply Chain & Logistics
Desk Clerk,0.70,120.00,765.00,Law Enforcement
Document Processor,0.70,178.00,1448.00,Construction
Mailroom Clerk,0.70,135.00,1205.00,Sales & Marketing
Office Cleaner,0.70,64.00,386.00,Hospitality
Receiving Clerk,0.70,149.00,1307.00,Communication & PR
Radiologic Technologist,0.70,75.00,549.00,Data & IT
Radiology Technologist,0.70,75.00,549.00,Administrative & Clerical
Ultrasound Technician,0.70,76.00,566.00,Leadership & Strategy
Ultrasound Technologist,0.70,76.00,566.00,Medical & Healthcare
Electrical Technician,0.70,6.00,45.00,Supply Chain & Logistics
Flooring Installer,0.70,1.00,2.00,Law Enforcement
Technical Marketing Engineer,0.70,244.00,1576.00,Construction
Web Content Editor,0.70,234.00,1986.00,Sales & Marketing
Engineering Project Manager,0.70,176.00,1446.00,Hospitality
Infrastructure Project Manager,0.70,176.00,1448.00,Communication & PR
Sap Project Manager,0.70,10.00,52.00,Data & IT
Software Product Manager,0.70,181.00,1472.00,Administrative & Clerical
Technical Product Manager,0.70,183.00,1474.00,Leadership & Strategy
Cashier,0.70,97.00,703.00,Medical & Healthcare
Mystery Shopper,0.70,99.00,671.00,Supply Chain & Logistics
Infrastructure Architect,0.70,148.00,1304.00,Law Enforcement
Actuary,0.70,131.00,1251.00,Construction
Arabic Linguist,0.70,113.00,859.00,Sales & Marketing
Game Programmer,0.70,152.00,1318.00,Hospitality
Mortgage Loan Processor,0.70,146.00,1322.00,Communication & PR
Computational Linguist,0.70,139.00,912.00,Data & IT
Bank Teller,0.70,113.00,824.00,Administrative & Clerical
Credit Analyst,0.70,169.00,1398.00,Leadership & Strategy
Credit Officer,0.70,174.00,1452.00,Medical & Healthcare
Credit Risk Analyst,0.70,171.00,1119.00,Supply Chain & Logistics
Credit Specialist,0.70,170.00,1394.00,Law Enforcement
Financial Analyst,0.70,172.00,1125.00,Construction
Financial Specialist,0.70,174.00,1127.00,Sales & Marketing
Fund Accountant,0.70,130.00,874.00,Hospitality
Payment Processor,0.70,149.00,1316.00,Communication & PR
Payroll Processor,0.70,145.00,1302.00,Data & IT
Tax Examiner,0.70,134.00,896.00,Administrative & Clerical
Clinical Trial Assistant,0.70,136.00,886.00,Leadership & Strategy
Cad Drafter,0.68,125.00,948.00,Medical & Healthcare
Business Manager,0.68,164.00,1072.00,Supply Chain & Logistics
Inpatient Coder,0.68,117.00,752.00,Law Enforcement
Assistant Branch Manager,0.67,130.00,861.00,Construction
Front Desk Attendant,0.67,126.00,886.00,Sales & Marketing
Front Office Clerk,0.67,129.00,926.00,Hospitality
Administrative Officer,0.65,133.00,865.00,Communication & PR
Administrative Specialist,0.65,134.00,866.00,Data & IT
Branch Office Administrator,0.65,130.00,828.00,Administrative & Clerical
Help Desk,0.65,133.00,1047.00,Leadership & Strategy
Order Processor,0.65,129.00,927.00,Medical & Healthcare
Title Clerk,0.65,107.00,704.00,Supply Chain & Logistics
Warranty Clerk,0.65,116.00,816.00,Law Enforcement
Crm Analyst,0.65,164.00,1081.00,Construction
Sales Operations Analyst,0.65,157.00,1053.00,Sales & Marketing
Freelance,0.65,182.00,1206.00,Hospitality
Technology,0.65,160.00,1099.00,Communication & PR
Analog Design Engineer,0.65,134.00,913.00,Data & IT
Automation Engineer,0.65,141.00,937.00,Administrative & Clerical
Medical Claims Processor,0.65,140.00,836.00,Leadership & Strategy
Logistics Clerk,0.65,124.00,1005.00,Medical & Healthcare
Shipping,0.65,107.00,711.00,Supply Chain & Logistics
Executive Producer,0.65,182.00,1302.00,Law Enforcement
.Net Developer,0.65,248.00,1734.00,Construction
Abap Developer,0.65,242.00,1696.00,Sales & Marketing
Asp.Net Developer,0.65,245.00,1752.00,Hospitality
Associate Software Engineer,0.65,245.00,1753.00,Communication & PR
C Developer,0.65,242.00,1743.00,Data & IT
C# Developer,0.65,248.00,1731.00,Administrative & Clerical
Dot Net Developer,0.65,249.00,1735.00,Leadership & Strategy
Firmware Engineer,0.65,238.00,1635.00,Medical & Healthcare
Bookkeeper,0.65,141.00,911.00,Supply Chain & Logistics
Bookkeeping,0.65,139.00,914.00,Law Enforcement
Commercial Analyst,0.65,157.00,1039.00,Construction
Commission Analyst,0.65,159.00,1061.00,Sales & Marketing
Corporate Financial Analyst,0.65,162.00,1056.00,Hospitality
Cost Accountant,0.65,158.00,1067.00,Communication & PR
Derivatives Analyst,0.65,161.00,1059.00,Data & IT
Energy Analyst,0.65,164.00,1066.00,Administrative & Clerical
Environmental Analyst,0.65,164.00,1067.00,Leadership & Strategy
Equity Analyst,0.65,162.00,1066.00,Medical & Healthcare
Equity Research Analyst,0.65,162.00,1066.00,Supply Chain & Logistics
Equity Research Associate,0.65,163.00,1067.00,Law Enforcement
Finance Analyst,0.65,168.00,1242.00,Construction
Finance Specialist,0.65,160.00,1218.00,Sales & Marketing
Financial Auditor,0.65,154.00,983.00,Hospitality
Forensic Accountant,0.65,157.00,996.00,Communication & PR
Certified Professional Coder,0.65,129.00,798.00,Data & IT
Junior Java Developer,0.65,247.00,1714.00,Administrative & Clerical
Junior Software Engineer,0.65,243.00,1716.00,Leadership & Strategy
Operations Research Analyst,0.65,174.00,1119.00,Medical & Healthcare
Rpg Programmer,0.65,217.00,1279.00,Supply Chain & Logistics
Clinical Data Analyst,0.65,220.00,1369.00,Law Enforcement
Database Administrator,0.65,241.00,1372.00,Construction
Healthcare Data Analyst,0.65,230.00,1609.00,Sales & Marketing
Mainframe Programmer,0.65,226.00,1354.00,Hospitality
Oracle Database Developer,0.65,242.00,1424.00,Communication & PR
Sql Data Analyst,0.65,250.00,1459.00,Data & IT
Armored Truck Driver,0.65,28.00,227.00,Administrative & Clerical
Correctional Officer,0.65,37.00,280.00,Leadership & Strategy
Deputy Director,0.65,122.00,829.00,Medical & Healthcare
Forensic Chemist,0.65,54.00,423.00,Supply Chain & Logistics
Safety Consultant,0.65,73.00,765.00,Law Enforcement
Security Dispatcher,0.65,84.00,774.00,Construction
Cad Operator,0.65,123.00,921.00,Sales & Marketing
Cad Technician,0.65,124.00,922.00,Hospitality
Game Artist,0.65,190.00,1453.00,Communication & PR
Radiology Assistant,0.65,68.00,480.00,Data & IT
Sonographer,0.65,57.00,412.00,Administrative & Clerical
Ultrasonographer,0.65,59.00,438.00,Leadership & Strategy
Vascular Sonographer,0.65,57.00,434.00,Medical & Healthcare
Vascular Technician,0.65,57.00,434.00,Supply Chain & Logistics
Vascular Technologist,0.65,57.00,434.00,Law Enforcement
X Ray Technician,0.65,59.00,437.00,Construction
Cleaner,0.65,6.00,27.00,Sales & Marketing
Hospital Housekeeping,0.65,8.00,33.00,Hospitality
Assembly Operator,0.65,59.00,495.00,Communication & PR
Electronic Assembler,0.65,59.00,497.00,Data & IT
Line Operator,0.65,58.00,488.00,Administrative & Clerical
Survey Researcher,0.65,165.00,1079.00,Leadership & Strategy
Web Content Manager,0.65,322.00,2266.00,Medical & Healthcare
Electrical Drafter,0.65,123.00,920.00,Supply Chain & Logistics
Structural Designer,0.65,130.00,965.00,Law Enforcement
Medical Biller,0.65,137.00,832.00,Construction
Sales Associate,0.65,169.00,1197.00,Sales & Marketing
Business Banking Relationship Manager,0.65,166.00,1126.00,Hospitality
Janitor,0.65,9.00,138.00,Communication & PR
Autocad Drafter,0.65,162.00,1598.00,Data & IT
Assistant Director,0.65,135.00,989.00,Administrative & Clerical
Executive Personal Assistant,0.65,128.00,1018.00,Leadership & Strategy
Pricing Specialist,0.65,164.00,1163.00,Medical & Healthcare
Ticket Agent,0.64,93.00,834.00,Supply Chain & Logistics
Contract Specialist,0.63,162.00,1161.00,Law Enforcement
Freelancer,0.63,120.00,974.00,Construction
Requirements Analyst,0.62,180.00,1595.00,Sales & Marketing
Seo Consultant,0.61,166.00,1338.00,Hospitality
Seo Manager,0.60,166.00,1334.00,Communication & PR
Seo Specialist,0.60,168.00,1356.00,Data & IT
Creative Project Manager,0.60,169.00,1604.00,Administrative & Clerical
Erp Project Manager,0.60,162.00,1497.00,Leadership & Strategy
Healthcare Project Manager,0.60,169.00,1539.00,Medical & Healthcare
Product Manager,0.60,195.00,1732.00,Supply Chain & Logistics
Project Consultant,0.60,183.00,1636.00,Law Enforcement
Project Manager,0.60,190.00,1686.00,Construction
Customer Assistant,0.60,167.00,1340.00,Sales & Marketing
Drafter,0.60,165.00,1622.00,Hospitality
Junior Architect,0.60,148.00,1581.00,Communication & PR
Space Planner,0.60,162.00,1553.00,Data & IT
Truss Designer,0.60,160.00,1521.00,Administrative & Clerical
Urban Planner,0.60,164.00,1559.00,Leadership & Strategy
Insurance Sales,0.60,135.00,1031.00,Medical & Healthcare
Insurance Sales Representative,0.60,135.00,1031.00,Supply Chain & Logistics
Life Insurance Agent,0.60,133.00,1025.00,Law Enforcement
Java Software Engineer,0.60,110.00,796.00,Construction
Java Web Developer,0.60,110.00,796.00,Sales & Marketing
Junior Developer,0.60,114.00,810.00,Hospitality
Performance Analyst,0.60,176.00,1339.00,Communication & PR
Risk Management Analyst,0.60,197.00,1658.00,Data & IT
Salesforce Business Analyst,0.60,208.00,1694.00,Administrative & Clerical
Data Analyst,0.60,217.00,1405.00,Leadership & Strategy
Database Architect,0.60,170.00,1564.00,Medical & Healthcare
Health Data Analyst,0.60,206.00,1372.00,Supply Chain & Logistics
Sql Dba,0.60,147.00,1447.00,Law Enforcement
Sql Server Dba,0.60,148.00,1455.00,Construction
Shipping Clerk,0.60,141.00,1102.00,Sales & Marketing
Timekeeper,0.60,97.00,843.00,Hospitality
Administration,0.60,108.00,879.00,Communication & PR
Administrative Director,0.60,120.00,937.00,Data & IT
Assistant Administrator,0.60,119.00,926.00,Administrative & Clerical
Compliance Analyst,0.60,187.00,1309.00,Leadership & Strategy
Front Desk Coordinator,0.60,105.00,855.00,Medical & Healthcare
Office Clerk,0.60,98.00,822.00,Supply Chain & Logistics
Operations Clerk,0.60,108.00,890.00,Law Enforcement
Procurement Clerk,0.60,115.00,907.00,Construction
Receiver,0.60,50.00,311.00,Sales & Marketing
Registration Clerk,0.60,85.00,710.00,Hospitality
Registration Specialist,0.60,90.00,756.00,Communication & PR
Unit Secretary,0.60,96.00,834.00,Data & IT
Healthcare Business Analyst,0.60,206.00,1671.00,Administrative & Clerical
Surgery Scheduler,0.60,81.00,815.00,Leadership & Strategy
Post Office,0.60,73.00,516.00,Medical & Healthcare
Demand Planner,0.60,154.00,1120.00,Supply Chain & Logistics
Logistics Coordinator,0.60,158.00,1201.00,Law Enforcement
Procurement Agent,0.60,156.00,1123.00,Construction
Purchasing Coordinator,0.60,158.00,1201.00,Sales & Marketing
Shipping Coordinator,0.60,160.00,1175.00,Hospitality
Supply Chain Coordinator,0.60,157.00,1200.00,Communication & PR
Supply Coordinator,0.60,156.00,1196.00,Data & IT
Assignment Editor,0.60,148.00,1187.00,Administrative & Clerical
Front Desk Agent,0.60,108.00,878.00,Leadership & Strategy
Radio Operator,0.60,124.00,890.00,Medical & Healthcare
Manual Qa Tester,0.60,121.00,1053.00,Supply Chain & Logistics
Manual Tester,0.60,121.00,1016.00,Law Enforcement
Coldfusion Developer,0.60,108.00,735.00,Construction
Computer Scientist,0.60,118.00,779.00,Sales & Marketing
Drupal Developer,0.60,108.00,776.00,Hospitality
Java,0.60,103.00,740.00,Communication & PR
Java Developer,0.60,109.00,769.00,Data & IT
Java Engineer,0.60,110.00,796.00,Administrative & Clerical
Java Programmer,0.60,110.00,796.00,Leadership & Strategy
Java Software Developer,0.60,110.00,796.00,Medical & Healthcare
Home Inspector,0.60,69.00,521.00,Supply Chain & Logistics
Biomedical Engineer,0.60,102.00,732.00,Law Enforcement
Biotechnology,0.60,97.00,694.00,Construction
Environmental Engineer,0.60,115.00,757.00,Sales & Marketing
Industrial Organizational Psychologist,0.60,90.00,685.00,Hospitality
Accounts Payable,0.60,154.00,1154.00,Communication & PR
Auditor,0.60,162.00,1260.00,Data & IT
Budget Analyst,0.60,165.00,1165.00,Administrative & Clerical
Collection Agent,0.60,173.00,1283.00,Leadership & Strategy
Collection Representative,0.60,181.00,1646.00,Medical & Healthcare
Collection Specialist,0.60,184.00,1663.00,Supply Chain & Logistics
Collections Specialist,0.60,184.00,1663.00,Law Enforcement
Compliance Auditor,0.60,190.00,1329.00,Construction
Cost Controller,0.60,195.00,1655.00,Sales & Marketing
Credit Controller,0.60,192.00,1647.00,Hospitality
Debt Collector,0.60,182.00,1357.00,Communication & PR
Exchange Engineer,0.60,149.00,1158.00,Data & IT
Financial Engineer,0.60,192.00,1635.00,Administrative & Clerical
Financial Examiner,0.60,192.00,1325.00,Leadership & Strategy
Loan Closer,0.60,178.00,1593.00,Medical & Healthcare
Mortgage Closer,0.60,149.00,1193.00,Supply Chain & Logistics
Mortgage Loan Closer,0.60,149.00,1193.00,Law Enforcement
Processor,0.60,131.00,1133.00,Construction
Trader,0.60,161.00,1479.00,Sales & Marketing
Treasury Accountant,0.60,183.00,1563.00,Hospitality
Clinical Analyst,0.60,201.00,1666.00,Communication & PR
Meter Reader,0.60,28.00,240.00,Data & IT
Gas Station Attendant,0.60,28.00,239.00,Administrative & Clerical
Lactation Consultant,0.60,72.00,540.00,Leadership & Strategy
Ticket Taker,0.60,54.00,349.00,Medical & Healthcare
Usher,0.60,52.00,355.00,Supply Chain & Logistics
911 Dispatcher,0.60,133.00,1008.00,Law Enforcement
911 Operator,0.60,133.00,1007.00,Construction
Fingerprint Technician,0.60,116.00,1076.00,Sales & Marketing
Forensic Examiner,0.60,125.00,1385.00,Hospitality
Forensic Scientist,0.60,129.00,1396.00,Communication & PR
Intelligence,0.60,148.00,1439.00,Data & IT
Military Analyst,0.60,168.00,1517.00,Administrative & Clerical
Safety Coordinator,0.60,1.00,2.00,Leadership & Strategy
Security Technician,0.60,117.00,854.00,Medical & Healthcare
Skip Tracer,0.60,103.00,745.00,Supply Chain & Logistics
Information Analyst,0.60,155.00,1192.00,Law Enforcement
Information Specialist,0.60,153.00,1186.00,Construction
Network Systems Administrator,0.60,126.00,1371.00,Sales & Marketing
Senior Systems Engineer,0.60,129.00,1344.00,Hospitality
Software Engineer,0.60,133.00,1342.00,Communication & PR
Systems Administrator,0.60,132.00,1398.00,Data & IT
Systems Analyst,0.60,168.00,1558.00,Administrative & Clerical
Unix Administrator,0.60,125.00,1355.00,Leadership & Strategy
Unix System Administrator,0.60,121.00,1340.00,Medical & Healthcare
Vmware Administrator,0.60,125.00,1355.00,Supply Chain & Logistics
Windows Administrator,0.60,121.00,812.00,Law Enforcement
Windows System Administrator,0.60,121.00,812.00,Construction
Registered Dental Assistant,0.60,42.00,360.00,Sales & Marketing
Registered Medical Assistant,0.60,43.00,364.00,Hospitality
Surgical Assistant,0.60,44.00,375.00,Communication & PR
Carpet Cleaner,0.60,6.00,133.00,Data & IT
Custodian,0.60,8.00,151.00,Administrative & Clerical
General Laborer,0.60,9.00,138.00,Leadership & Strategy
Housekeeping Attendant,0.60,9.00,138.00,Medical & Healthcare
Assembly Line Worker,0.60,39.00,315.00,Supply Chain & Logistics
Assembly Worker,0.60,37.00,303.00,Law Enforcement
Forklift,0.60,22.00,166.00,Construction
Master Control Operator,0.60,120.00,1201.00,Sales & Marketing
Curriculum Designer,0.60,170.00,1325.00,Hospitality
Curriculum Specialist,0.60,164.00,1213.00,Communication & PR
Epic Trainer,0.60,109.00,900.00,Data & IT
Virtual Teacher,0.60,121.00,1037.00,Administrative & Clerical
3D Modeler,0.60,204.00,1735.00,Leadership & Strategy
Compositor,0.60,193.00,1696.00,Medical & Healthcare
Fx Artist,0.60,190.00,1638.00,Supply Chain & Logistics
Game Developer,0.60,211.00,1781.00,Law Enforcement
Accessioner,0.60,46.00,410.00,Construction
Autopsy Assistant,0.60,37.00,347.00,Sales & Marketing
Certified Surgical Technologist,0.60,43.00,378.00,Hospitality
Contact Tracing,0.60,94.00,604.00,Communication & PR
Director Of Nursing,0.60,72.00,622.00,Data & IT
Design Engineer,0.60,143.00,1047.00,Administrative & Clerical
Business Management Consultant,0.60,143.00,984.00,Leadership & Strategy
General Labor,0.60,19.00,409.00,Medical & Healthcare
General Worker,0.60,19.00,409.00,Supply Chain & Logistics
Tax Analyst,0.60,161.00,1162.00,Law Enforcement
Appointment Setter,0.60,116.00,1026.00,Construction
Survey Technician,0.60,101.00,809.00,Sales & Marketing
Accountant,0.60,117.00,966.00,Hospitality
Claims Auditor,0.60,127.00,947.00,Communication & PR
Loan Underwriter,0.60,121.00,949.00,Data & IT
Tax Accountant,0.60,130.00,1026.00,Administrative & Clerical
Coding Specialist,0.60,138.00,1094.00,Leadership & Strategy
Biztalk Developer,0.60,138.00,1072.00,Medical & Healthcare
Report Analyst,0.60,182.00,1339.00,Supply Chain & Logistics
Revenue Cycle Analyst,0.60,149.00,1055.00,Law Enforcement
Cloud Architect,0.60,142.00,1039.00,Construction
Data Technician,0.60,145.00,1037.00,Sales & Marketing
Database Specialist,0.60,159.00,1116.00,Hospitality
Financial Data Analyst,0.60,196.00,1403.00,Communication & PR
Sql Database Administrator,0.60,149.00,1090.00,Data & IT
Process Server,0.60,65.00,661.00,Administrative & Clerical
Game Designer,0.60,171.00,1413.00,Leadership & Strategy
Embryologist,0.60,50.00,569.00,Medical & Healthcare
Medical Office Assistant,0.60,90.00,858.00,Supply Chain & Logistics
Customs Broker,0.60,123.00,918.00,Law Enforcement
Import Coordinator,0.60,129.00,935.00,Construction
Import Specialist,0.60,127.00,931.00,Sales & Marketing
Merchandising Coordinator,0.60,162.00,1111.00,Hospitality
Purchaser,0.59,142.00,1024.00,Communication & PR
